epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.191,4.41437,6.91757,3.50129,0.85446,0.26042,0.28809,0.1647,3.12786,2.42363,2.44392,0.00333109,0.00333109,0.00333109
2,957.904,3.179,3.1355,2.41386,0.74705,0.30658,0.34579,0.20495,2.83667,1.97625,2.25099,0.00659844,0.00659844,0.00659844
3,1480.56,3.01581,2.38217,2.2958,0.39506,0.41564,0.4056,0.24482,2.67898,1.76062,2.18428,0.0097998,0.0097998,0.0097998
4,1951.23,2.9032,2.02039,2.23593,0.52887,0.46778,0.48171,0.29026,2.61084,1.57351,2.14994,0.009703,0.009703,0.009703
5,2383.41,2.80468,1.79814,2.19799,0.52788,0.52689,0.53525,0.32576,2.54066,1.4515,2.11666,0.009604,0.009604,0.009604
6,2831.26,2.74075,1.65648,2.16116,0.5812,0.54212,0.56685,0.34684,2.50017,1.39377,2.10263,0.009505,0.009505,0.009505
7,3308.74,2.71012,1.60767,2.1484,0.74367,0.53609,0.59036,0.36526,2.43879,1.32419,2.08667,0.009406,0.009406,0.009406
8,3816.99,2.6635,1.55073,2.13623,0.64127,0.61118,0.61632,0.38107,2.42848,1.29706,2.07758,0.009307,0.009307,0.009307
9,4361.62,2.61957,1.49297,2.12337,0.65375,0.6361,0.64025,0.39479,2.43127,1.25651,2.08336,0.009208,0.009208,0.009208
10,4882.85,2.57387,1.43113,2.10616,0.72424,0.6243,0.65835,0.40884,2.38141,1.20323,2.06425,0.009109,0.009109,0.009109
11,5389.59,2.55934,1.41864,2.10235,0.67688,0.64718,0.65904,0.41036,2.35742,1.21096,2.06055,0.00901,0.00901,0.00901
12,5888.49,2.54831,1.40468,2.0974,0.70589,0.62954,0.66783,0.41584,2.35611,1.18969,2.05887,0.008911,0.008911,0.008911
13,6433.85,2.51782,1.36453,2.08072,0.69639,0.64998,0.6665,0.41657,2.35317,1.16454,2.05231,0.008812,0.008812,0.008812
14,6963.38,2.49288,1.34257,2.06879,0.72767,0.64757,0.6796,0.43269,2.31951,1.14396,2.04109,0.008713,0.008713,0.008713
15,7468.87,2.49229,1.32182,2.07236,0.72676,0.66458,0.68793,0.43079,2.32269,1.13515,2.04471,0.008614,0.008614,0.008614
16,7897.83,2.48716,1.31075,2.06918,0.75403,0.63322,0.68005,0.4292,2.3096,1.14277,2.04205,0.008515,0.008515,0.008515
17,8349.55,2.46519,1.29014,2.05927,0.70314,0.65379,0.67971,0.42714,2.2814,1.12632,2.03573,0.008416,0.008416,0.008416
18,8819.77,2.43391,1.26227,2.04738,0.76959,0.65937,0.71024,0.44997,2.2628,1.08783,2.02179,0.008317,0.008317,0.008317
19,9253.47,2.43532,1.27054,2.05628,0.75619,0.65831,0.69459,0.43683,2.27772,1.0878,2.02671,0.008218,0.008218,0.008218
20,9705.77,2.42562,1.25016,2.04762,0.73421,0.66975,0.69542,0.44215,2.28345,1.09721,2.02416,0.008119,0.008119,0.008119
21,10143.8,2.3896,1.22272,2.0446,0.76917,0.67435,0.70839,0.45379,2.26705,1.06044,2.02316,0.00802,0.00802,0.00802
22,10590,2.41029,1.22502,2.04115,0.74304,0.68012,0.71078,0.45418,2.23238,1.06999,2.01657,0.007921,0.007921,0.007921
23,11053,2.38158,1.20123,2.02566,0.78607,0.65164,0.71683,0.46067,2.22427,1.0436,2.01412,0.007822,0.007822,0.007822
24,11504.7,2.38995,1.20904,2.0297,0.73548,0.6517,0.69971,0.45147,2.22348,1.0548,2.01158,0.007723,0.007723,0.007723
25,11946.7,2.35545,1.18482,2.02092,0.75114,0.67736,0.71174,0.46273,2.21453,1.03758,2.00815,0.007624,0.007624,0.007624
26,12380.5,2.37545,1.18516,2.02982,0.77776,0.65237,0.70921,0.45834,2.21256,1.03511,2.00599,0.007525,0.007525,0.007525
27,12833.4,2.33971,1.17576,2.02105,0.74614,0.67803,0.71285,0.4622,2.2087,1.02445,2.00884,0.007426,0.007426,0.007426
28,13289.1,2.34022,1.16793,2.02205,0.77075,0.65434,0.71572,0.45711,2.21209,1.03178,2.00899,0.007327,0.007327,0.007327
29,13741.3,2.33368,1.16061,2.01316,0.74308,0.68632,0.72002,0.46448,2.18603,1.00864,2.00072,0.007228,0.007228,0.007228
30,14181.5,2.32574,1.15477,2.00766,0.76678,0.67785,0.71687,0.46377,2.2016,1.02324,2.0077,0.007129,0.007129,0.007129
31,14628.9,2.30814,1.1499,2.00381,0.80834,0.66578,0.72561,0.47036,2.18728,1.00416,2.00429,0.00703,0.00703,0.00703
32,15097.2,2.3014,1.14489,2.00121,0.78497,0.66692,0.72471,0.47387,2.18116,0.99217,1.99821,0.006931,0.006931,0.006931
33,15532.7,2.30844,1.13817,2.006,0.76531,0.69159,0.72218,0.46989,2.16993,0.9993,1.99893,0.006832,0.006832,0.006832
